run,data_type,model,score,method
3,mnar,xgbregressor_no_impute,1463209.9777684622,synthesizer
3,mnar,xgbregressor,1361911.4475081395,synthesizer
3,mnar,randomforestregressor,1327273.0217126308,synthesizer
3,mnar,lasso,1192452.656511326,synthesizer
3,mnar,ridge,1182975.6312799894,synthesizer
3,mnar,kneighborsregressor,1491605.097952469,synthesizer
3,mnar,svr,1766458.623605714,synthesizer
4,real,xgbregressor_no_impute,1151009.697040133,synthesizer
4,real,xgbregressor,1169042.69723776,synthesizer
4,real,randomforestregressor,1213784.7741705754,synthesizer
4,real,lasso,1147248.8814296266,synthesizer
4,real,ridge,1137874.231867225,synthesizer
4,real,kneighborsregressor,1297547.8629356837,synthesizer
4,real,svr,1690910.3592774265,synthesizer
4,mar,xgbregressor_no_impute,1243358.5478634438,synthesizer
4,mar,xgbregressor,1237089.4887200035,synthesizer
4,mar,randomforestregressor,1244414.5001112684,synthesizer
4,mar,lasso,1138298.973812389,synthesizer
4,mar,ridge,1143696.4314738312,synthesizer
4,mar,kneighborsregressor,1263204.2716777138,synthesizer
4,mar,svr,1812426.172964919,synthesizer
4,mnar,xgbregressor_no_impute,1158301.443093724,synthesizer
4,mnar,xgbregressor,1212011.8094299268,synthesizer
4,mnar,randomforestregressor,1187664.3378871751,synthesizer
4,mnar,lasso,1132309.7153191466,synthesizer
4,mnar,ridge,1123039.186345185,synthesizer
4,mnar,kneighborsregressor,1216143.7553590008,synthesizer
4,mnar,svr,1765774.3448017396,synthesizer
5,real,xgbregressor_no_impute,1202074.6238452918,synthesizer
5,real,xgbregressor,1261117.7341480155,synthesizer
5,real,randomforestregressor,1302988.812422441,synthesizer
5,real,lasso,1133785.9688518357,synthesizer
5,real,ridge,1135617.3994933146,synthesizer
5,real,kneighborsregressor,1210420.3226335149,synthesizer
5,real,svr,1585093.952562522,synthesizer
5,mar,xgbregressor_no_impute,1134898.7974004843,synthesizer
5,mar,xgbregressor,1174319.5849169584,synthesizer
5,mar,randomforestregressor,1206204.172403865,synthesizer
5,mar,lasso,1196345.1282575142,synthesizer
5,mar,ridge,1199835.2693329777,synthesizer
5,mar,kneighborsregressor,1166664.3062113796,synthesizer
5,mar,svr,1614255.5033195522,synthesizer
5,mnar,xgbregressor_no_impute,1294209.1809129808,synthesizer
5,mnar,xgbregressor,1232914.5413300754,synthesizer
5,mnar,randomforestregressor,1271951.559770143,synthesizer
5,mnar,lasso,1155893.4966086678,synthesizer
5,mnar,ridge,1162754.4479683463,synthesizer
5,mnar,kneighborsregressor,1272184.078487413,synthesizer
5,mnar,svr,1727972.577298545,synthesizer
6,real,xgbregressor_no_impute,1257706.387858105,synthesizer
6,real,xgbregressor,1276125.4401928808,synthesizer
6,real,randomforestregressor,1376090.516351491,synthesizer
6,real,lasso,1206901.1723573124,synthesizer
6,real,ridge,1206665.406026845,synthesizer
6,real,kneighborsregressor,1361744.4772205665,synthesizer
6,real,svr,2035329.1170786256,synthesizer
6,mar,xgbregressor_no_impute,1326398.510563547,synthesizer
6,mar,xgbregressor,1306656.2800384054,synthesizer
6,mar,randomforestregressor,1372183.3540264608,synthesizer
6,mar,lasso,1201627.489537521,synthesizer
6,mar,ridge,1202559.3376417586,synthesizer
6,mar,kneighborsregressor,1432635.9303938637,synthesizer
6,mar,svr,2002843.2839185293,synthesizer
6,mnar,xgbregressor_no_impute,1218320.4804056014,synthesizer
6,mnar,xgbregressor,1289746.282541681,synthesizer
6,mnar,randomforestregressor,1281393.4331693223,synthesizer
6,mnar,lasso,1216020.6525341484,synthesizer
6,mnar,ridge,1216582.0354687884,synthesizer
6,mnar,kneighborsregressor,1385021.5647950585,synthesizer
6,mnar,svr,2005827.5790420005,synthesizer
7,real,xgbregressor_no_impute,1043577.1125853728,synthesizer
7,real,xgbregressor,1003980.3855289492,synthesizer
